이름,학명,영명,유통명,과명,원산지,TIP,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기,관리수준,관리요구도,광요구도,배치장소,생장속도,생육적온,겨울최저온도,습도,비료,토양,물주기-봄,물주기-여름,물주기-가을,물주기-겨울,병충해
데코라고무나무,Ficus elastica var. decora,"Decora(Wideleaf ) Rubber plant, Rubber Plant",,뽕나무과,"열대 아시아 원산종의 원예품종, 남아시아,인도, 네팔","컨테이너, 독립, 그늘, Self-Sowing-Yes",잎보기식물,"직립형, 관목형",,,"상층목,중층목",일반형,잎-화려함 / 잎의 질감-두꺼움 / 잎의 광택-있음 / 상록,"점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",,,,,거의 없음,삽목,,초보자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"중성,산성,알칼리성 / 배수 잘 됨 / 타입-Loam, Sand",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
덴파레,Dendrobium phalaenopsis,Cocktown orchid,덴파레,난초과,"인도네시아, 파푸아튜기니",,잎&꽃보기식물,"관목형, 풀모양, 다육형",,,하층목,건조형,,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을,겨울","보라색,분홍색,빨강색,노랑색,흰색,혼합색",,,약함,"분주,기타",,경험자,보통 (약간 잘 견딤),"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,,,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,총채벌레"
도깨비고비,Cyrtomium falcatum,"Holly fern, Japanese Holly, Japanese Hollyfern, Japanese Netvein Hollyfern",도깨비고비,면마과,"한국, 일본, 중국, 대만, 인도, 하와이, 셀레베스","컨테이너, 독립, 지피, 경계, 암석정원, 벽면정원",잎보기식물,풀모양,,,"하층목,지피식물",일반형,잎-화려함 / 잎의 질감-거침 / 잎의 광택-있음 / 상록,,"녹색, 연두색",,,,,거의 없음,"파종,기타",,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,0℃ 이하,40% 미만,비료를 보통 요구함,중성 / 배수 잘 됨 / 타입-Loam,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
돈나무,Pittosporum tobira,"bottle ponytail, japanese laurel, japanese pittosporum",돈나무,돈나무과,"아시아, 아메리카",,"잎&꽃보기식물, 열매보기식물",관목형,,,중층목,일반형,"둥근형, 광택있음",기타 (무늬없음 등),"녹색, 연두색",봄,"노랑색,흰색",,"빨강색,오렌지색",강함,"파종,삽목",여름,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,0℃ 이하,40 ~ 70%,보통 요구함 (수용성비료를 봄과 여름에 격주로 줌),화분용 영양토,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
동백,Camellia japonica,common camellia,동백,차나무과,"한국 남해안, 일본, 중국","꽃말 '자랑, 겸손한 아름다움 ' (컨테이너, 경계식재, 울타리식재, 기본식재)",잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,타원형 / 광택,기타 (무늬없음 등),"녹색, 연두색","봄,겨울","분홍색,빨강색,흰색,혼합색",,,중간,"파종,삽목,접목",늦여름,경험자,필요함,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,0℃ 이하,40 ~ 70%,"많이 요구함 (유기물이 풍부, 성장기간동안 산성비료 2주에 1번)","양토(산성, 중성), 점토, 모래, 건조토양",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
둥근잎 아랄리아,Polyscias balfouriana,"false aralia, finger aralia, thread leaf false aralia",둥근잎 아랄리아,두릅나무과,"뉴칼레도니아, 폴리네시아",,잎보기식물,관목형,,,"상층목,중층목",일반형,둥근형,"잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,빨강, 분홍, 자주색,기타",,,,,거의 없음,삽목,,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
듀란타,Duranta reptans,"Golden - dewdrop, Pigeon berry, Skyflower, Brazilian skyflower","듀란타, 초코향",마편초과,브라질,,잎&꽃보기식물,관목형,,,"상층목,중층목",일반형,,기타 (무늬없음 등),"녹색, 연두색,금색, 노란색","봄,여름","보라색,기타",,,강함,삽목,,,필요함,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,화분용 영양토,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"진딧물,응애,깍지벌레,온실가루이"
드라세나 '송오브인디아',Dracaena reflexa 'Song of India',song of India,"송오브인디아, 송오브인디, (추천 유통명: 송오브인디아 드라세나)",백합과,아프리카,,잎보기식물,관목형,,,중층목,"일반형,수경형",좁은 칼 모양,줄무늬,"녹색, 연두색,금색, 노란색",,흰색,,,약함,"삽목,기타",,초보자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함(봄~가을 완효성비료를 규칙적으로 주고 겨울에 중단),물빠짐이 좋고 다소 보수력이 있는 토양,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 '송오브자마이카',Dracaena reflexa 'Song of Jamaica',song of jamaica,드라세나 '송오브자마이카',백합과,아프리카,,잎보기식물,관목형,,,중층목,"일반형,수경형",좁은 칼 모양 잎,줄무늬,"녹색, 연두색",,,,,약함,"삽목,기타",,초보자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,물빠짐이 좋으면서 보수력을 지닌 토양,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 '와네끼',Dracaena deremensis 'Warneckii',striped dracaena,드라세나 '와네끼',백합과,아프리카,,잎보기식물,"직립형, 관목형",,,"상층목,중층목","일반형,수경형",긴 칼 모양 잎,줄무늬,"녹색, 연두색,금색, 노란색,흰색, 크림색",,,,,약함,삽목,여름,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함. (수용성비료 2주에 한번 줌),화분용 영양토,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 '자바',Dracaena angustifolia 'Java',Dracaena angustifolia 'Java',드라세나 '자바',백합과,아프리카,,잎보기식물,관목형,,,"상층목,중층목",일반형,좁고 가늘고 긴 잎,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,삽목,,경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 '콤팩타',Dracaena deremensis 'Virens Compacta',"calypso queen, dwarf bouquet, dracaena compacta",콤팩타 (추천유통명: 드라세나 '콤팩타'),백합과,아프리카,,잎보기식물,"직립형, 관목형",,,중층목,일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,삽목,"봄, 여름",초보자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함 (수용성비료 2주에 한번 줌),화분용영양토,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 '트리컬러 레인보우',Dracaena concinna 'Tricolor Rainbow',dracaena rainbow,드라세나 '트리컬러 레인보우',백합과,아프리카,,잎보기식물,관목형,,,중층목,"일반형,수경형",가늘고 긴 칼모양 잎,줄무늬,"녹색, 연두색,빨강, 분홍, 자주색,여러색 혼합",,,,,약함,삽목,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 드라코,Dracaena draco,dragon tree,드라코 (추천 유통명 : 드라세나 드라코),백합과,아프리카,,잎보기식물,관목형,,,"상층목,중층목",일반형,두꺼운 긴타원형,기타 (무늬없음 등),"녹색, 연두색",,,,,약함,"삽목,기타","봄, 여름",경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함 (수용성비료 2주에 한번 줌),"가볍고, 건조잘되는것, 양질토, 모래, 산도(알칼리, 중성), 일반화분용토양(토양자체가 단단하면 모래 또는 펄라이트, 피트모스를 추가하여 흙을 만듬)",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 마지나타,Dracaena marginata,"Madagascar dragon tree, red edged Dracaena",드라세나 마지나타,백합과,아프리카,"컨테이너, 경계식재, 기본식재",잎보기식물,관목형,,,"상층목,중층목","일반형,수경형",폭이 좁고 가는잎,줄무늬,"녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",,,,노랑색,약함,"삽목,기타",,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함(봄~가을 완효성비료를 규칙적으로 줌),"건조하고 가벼운 토양 / 산성, 알카리",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 맛상게아나,Dracaena fragrans var. massangeana,corn plant,"맛상게아, 맛상케이아, (추천 유통명: 맛상게아나 드라세나)",백합과,아프리카,,잎보기식물,"직립형, 관목형",,,"상층목,중층목","일반형,수경형",칼모양 잎,줄무늬,"녹색, 연두색,기타",,,,,약함,"삽목,기타",,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함(수용성비료 2주에 한번 줌),화분용영양토,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 산데리아나,Dracaena sanderiana,"ribbon plant, belgian evergreen, lucky bamboo",드라세나 산데리아나,백합과,서아프리카의 카메룬,,잎보기식물,"직립형, 관목형",,,"중층목,하층목","일반형,수경형",칼처럼 생긴잎 / 광택,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,삽목,여름,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함(봄~가을 완효성비료를 규칙적으로 줌),"물빠짐이 좋은토양, 양질토, 모래, 중성(산도)",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,총채벌레"
드라세나 산데리아나 '세레스',Dracaena sanderiana 'Celes',Dracaena sanderiana Celes,(추천 유통명: 세레스 드라세나),백합과,아프리카,,잎보기식물,"직립형, 관목형",,,중층목,"일반형,수경형",폭이 좁고 가는 잎,줄무늬,"녹색, 연두색",,,,,약함,삽목,,초보자,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,건조한 토양,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
드라세나 수르쿨로사,Dracaena surculosa (D. godseffiana),Dracaena surculosa,"고드세피아, 곳세피아나, 드라세나 곳세피아나, (추천 유통명: 드라세나 수르쿨로사)",백합과,아프리카,,잎보기식물,관목형,,,중층목,일반형,타원형,"점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색",,흰색,,,약함,삽목,,경험자,필요함,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,16~20℃,13℃ 이상,40% 미만,비료를 보통 요구함(동절기 비료주지 않음),,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
